Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 1,Camp 1,1,20,0.25,1,428.4,2882.1,813.6743929,22716,1444
Scenario 1,Camp 2,1,20,0.25,1,642.6,2860.68,1220.037616,22716,1798
Scenario 1,Camp 3,1,20,0.25,1,1071,2817.84,2032.763916,22716,2516
Scenario 1,Camp 4,1,20,0.25,1,4282.8,4500.96,8125.933994,22716,6820
Scenario 1,Camp 5,1,20,0.25,1,2483.6,742.52,4712.635691,22716,3966
Scenario 1,Camp 6,1,20,0.25,1,1698.4,2074,3223.017049,22716,2708
Scenario 1,Camp 7,1,20,0.25,1,2174.4,1628.42,4126.046182,22716,3464
Scenario 1,Camp 1,1,20,0.25,1,428.4,2882.1,813.6743929,30288,2000
Scenario 1,Camp 2,1,20,0.25,1,642.6,2860.68,1220.037616,30288,2390
Scenario 1,Camp 3,1,20,0.25,1,1071,2817.84,2032.763916,30288,3162
Scenario 1,Camp 4,1,20,0.25,1,4282.8,4500.96,8125.933994,30288,9734
Scenario 1,Camp 5,1,20,0.25,1,2483.6,742.52,4712.635691,30288,4368
Scenario 1,Camp 6,1,20,0.25,1,1698.4,2074,3223.017049,30288,3988
Scenario 1,Camp 7,1,20,0.25,1,2174.4,1628.42,4126.046182,30288,4646
Scenario 1,Camp 1,1,20,0.25,1,428.4,2882.1,813.6743929,37860,2784
Scenario 1,Camp 2,1,20,0.25,1,642.6,2860.68,1220.037616,37860,3218
Scenario 1,Camp 3,1,20,0.25,1,1071,2817.84,2032.763916,37860,4084
Scenario 1,Camp 4,1,20,0.25,1,4282.8,4500.96,8125.933994,37860,11812
Scenario 1,Camp 5,1,20,0.25,1,2483.6,742.52,4712.635691,37860,5536
Scenario 1,Camp 6,1,20,0.25,1,1698.4,2074,3223.017049,37860,4880
Scenario 1,Camp 7,1,20,0.25,1,2174.4,1628.42,4126.046182,37860,5546
Scenario 10,Camp 1,6,30,0.25,1,428.4,2882.1,19.10374966,3786,70
Scenario 10,Camp 2,6,30,0.25,1,642.6,2860.68,28.58945485,3786,164
Scenario 10,Camp 3,6,30,0.25,1,1071,2817.84,47.56074297,3786,326
