Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 1,Camp 1,1.0,20.0,0.25,1.0,428.4,2882.1,813.6743929155606,24452,1718.0
Scenario 1,Camp 2,1.0,20.0,0.25,1.0,642.6,2860.68,1220.0376164499855,24452,2092.0
Scenario 1,Camp 3,1.0,20.0,0.25,1.0,1071.0,2817.84,2032.7639162612365,24452,2832.0
Scenario 1,Camp 4,1.0,20.0,0.25,1.0,4282.8,4500.96,8125.933994354047,24452,7168.0
Scenario 1,Camp 5,1.0,20.0,0.25,1.0,2483.6,742.52,4712.635690812483,24452,4158.0
Scenario 1,Camp 6,1.0,20.0,0.25,1.0,1698.4,2074.0,3223.017049266283,24452,2844.0
Scenario 1,Camp 7,1.0,20.0,0.25,1.0,2174.4,1628.42,4126.046182437925,24452,3640.0
Scenario 10,Camp 1,2.0,30.0,0.25,1.0,428.4,2882.1,312.44960398688715,12226,456.0
Scenario 10,Camp 2,2.0,30.0,0.25,1.0,642.6,2860.68,468.31105459143845,12226,656.0
Scenario 10,Camp 3,2.0,30.0,0.25,1.0,1071.0,2817.84,780.0337304198586,12226,1056.0
Scenario 10,Camp 4,2.0,30.0,0.25,1.0,4282.8,4500.96,3117.0796669005454,12226,4074.0
Scenario 10,Camp 5,2.0,30.0,0.25,1.0,2483.6,742.52,1807.9032314468886,12226,2308.0
Scenario 10,Camp 6,2.0,30.0,0.25,1.0,1698.4,2074.0,1236.557418820447,12226,1624.0
Scenario 10,Camp 7,2.0,30.0,0.25,1.0,2174.4,1628.42,1582.9158114106647,12226,2052.0
Scenario 100,Camp 1,1.0,50.0,0.75,3.0,428.4,2882.1,1677.865906939423,24452,820.0
Scenario 100,Camp 2,1.0,50.0,0.75,3.0,642.6,2860.68,2515.8214878681842,24452,1230.0
Scenario 100,Camp 3,1.0,50.0,0.75,3.0,1071.0,2817.84,4191.732346067994,24452,2050.0
Scenario 100,Camp 4,1.0,50.0,0.75,3.0,4282.8,4500.96,16756.368063043665,24452,8192.0
Scenario 100,Camp 5,1.0,50.0,0.75,3.0,2483.6,742.52,9717.85621654773,24452,4750.0
Scenario 100,Camp 6,1.0,50.0,0.75,3.0,1698.4,2074.0,6646.135692031777,24452,3250.0
Scenario 100,Camp 7,1.0,50.0,0.75,3.0,2174.4,1628.42,8508.258684611925,24452,4160.0
Scenario 101,Camp 1,1.33,20.0,0.75,3.0,428.4,2882.1,694.9444386091844,18385,616.0
Scenario 101,Camp 2,1.33,20.0,0.75,3.0,642.6,2860.68,1041.878580158912,18385,924.0
Scenario 101,Camp 3,1.33,20.0,0.75,3.0,1071.0,2817.84,1735.7466410462248,18385,1541.0
Scenario 101,Camp 4,1.33,20.0,0.75,3.0,4282.8,4500.96,6937.812544366801,18385,6160.0
Scenario 101,Camp 5,1.33,20.0,0.75,3.0,2483.6,742.52,4023.696845271063,18385,3572.0
Scenario 101,Camp 6,1.33,20.0,0.75,3.0,1698.4,2074.0,2751.9295625112095,18385,2444.0
Scenario 101,Camp 7,1.33,20.0,0.75,3.0,2174.4,1628.42,3522.8939405028727,18385,3128.0
Scenario 102,Camp 1,1.33,30.0,0.75,3.0,428.4,2882.1,825.749511774538,18385,616.0
Scenario 102,Camp 2,1.33,30.0,0.75,3.0,642.6,2860.68,1237.9849108748595,18385,924.0
Scenario 102,Camp 3,1.33,30.0,0.75,3.0,1071.0,2817.84,2062.4554450377495,18385,1541.0
Scenario 102,Camp 4,1.33,30.0,0.75,3.0,4282.8,4500.96,8243.673886734861,18385,6160.0
Scenario 102,Camp 5,1.33,30.0,0.75,3.0,2483.6,742.52,4781.05229845553,18385,3572.0
Scenario 102,Camp 6,1.33,30.0,0.75,3.0,1698.4,2074.0,3269.908163060328,18385,2444.0
Scenario 102,Camp 7,1.33,30.0,0.75,3.0,2174.4,1628.42,4185.98637500526,18385,3128.0
Scenario 103,Camp 1,1.33,40.0,0.75,3.0,428.4,2882.1,918.5571881514094,18385,616.0
Scenario 103,Camp 2,1.33,40.0,0.75,3.0,642.6,2860.68,1377.1245668233266,18385,924.0
Scenario 103,Camp 3,1.33,40.0,0.75,3.0,1071.0,2817.84,2294.259030453665,18385,1541.0
Scenario 103,Camp 4,1.33,40.0,0.75,3.0,4282.8,4500.96,9170.197254084367,18385,6160.0
Scenario 103,Camp 5,1.33,40.0,0.75,3.0,2483.6,742.52,5318.404544056507,18385,3572.0
Scenario 103,Camp 6,1.33,40.0,0.75,3.0,1698.4,2074.0,3637.4198288283524,18385,2444.0
Scenario 103,Camp 7,1.33,40.0,0.75,3.0,2174.4,1628.42,4656.457944494428,18385,3128.0
Scenario 104,Camp 1,1.33,50.0,0.75,3.0,428.4,2882.1,990.5444146040628,18385,616.0
Scenario 104,Camp 2,1.33,50.0,0.75,3.0,642.6,2860.68,1485.0496686288357,18385,924.0
Scenario 104,Camp 3,1.33,50.0,0.75,3.0,1071.0,2817.84,2474.059859946591,18385,1541.0
Scenario 104,Camp 4,1.33,50.0,0.75,3.0,4282.8,4500.96,9888.86461073942,18385,6160.0
Scenario 104,Camp 5,1.33,50.0,0.75,3.0,2483.6,742.52,5735.207326962505,18385,3572.0
Scenario 104,Camp 6,1.33,50.0,0.75,3.0,1698.4,2074.0,3922.484023305133,18385,2444.0
Scenario 104,Camp 7,1.33,50.0,0.75,3.0,2174.4,1628.42,5021.38404473232,18385,3128.0
Scenario 105,Camp 1,2.0,20.0,0.75,3.0,428.4,2882.1,297.63686125746614,12226,372.0
Scenario 105,Camp 2,2.0,20.0,0.75,3.0,642.6,2860.68,446.10916641334387,12226,590.0
Scenario 105,Camp 3,2.0,20.0,0.75,3.0,1071.0,2817.84,743.0535620293593,12226,1016.0
